1	0.29242
2	0.03009
3	0.09681
4	0.33522
5	0.38014
6	0.41116
7	0.49258
8	0.78339
9	0.38748
10	0.59084
11	0.678
12	0.84538
13	0.13378
14	0.98783
15	0.86676
16	0.86918
17	0.93022
18	0.07
19	0.30461
20	0.39514
21	0.53208
22	0.04857
23	0.16545
24	0.58128
25	0.05558
26	0.01254
27	0.26264
28	0.58646
29	0.01993
30	0.26345
31	0.34987
32	0.33745
33	0.63404
34	0.26129
35	0.32754
36	0.88849
37	0.19862
38	0.69888
39	0.84954
40	0.1965
41	0.51285
42	0.70725
43	0.25455
44	0.49906
45	0.74708
46	0.18403
47	0.26216
48	0.293
49	0.79277
50	0.81689
51	0.44475
52	0.23516
53	0.87356
54	0.22288
55	0.04012
56	0.74119
57	0.48336
58	0.75572
59	0.8318
60	0.82927
61	0.44607
62	0.74556
63	0.5841
64	0.34692
65	0.61576
66	0.37533
67	5.3469E-4
68	0.88645
69	0.5782
70	0.57719
71	0.05198
72	0.42307
73	0.75616
74	0.98519
75	0.25577
76	0.43824
77	0.75542
78	0.32689
79	0.64669
80	0.75348
81	0.77056
82	0.94067
83	0.14296
84	0.2402
85	0.62196
86	0.75695
87	0.00445
88	0.9111
89	0.3139
90	0.67198
91	0.04355
92	0.41779
93	0.48822
94	0.51
95	0.78441
96	0.55816
97	0.38852
98	0.5662
99	0.09853
100	0.84503
101	0.34858
102	0.74689
103	0.22729
104	0.3713
105	0.96446
106	0.7147
107	0.76142
108	0.44631
109	0.32712
110	0.92005
111	0.53277
112	0.67042
113	0.51099
114	0.04858
115	0.84486
116	0.90549
117	0.26203
118	0.4098
119	0.23315
120	0.13969
121	0.60727
122	0.16065
123	0.42352
124	0.14239
125	0.6205
126	0.58199
127	0.35595
128	0.21613
129	0.34651
130	0.75506
131	0.40945
132	0.94569
133	0.03719
134	0.58569
135	0.44668
136	0.7403
137	0.9967
138	0.78838
139	0.78775
140	0.11535
141	0.10102
142	0.32916
143	0.65379
144	0.46468
145	0.1605
146	0.14172
147	0.99768
148	0.21165
149	0.64352
150	0.81873
151	0.19096
152	0.43113
153	0.71861
154	0.09081
155	0.95563
156	0.57115
157	0.58863
158	0.48429
159	0.50345
160	0.23283
161	0.82944
162	0.34402
163	0.99709
164	0.74988
165	0.07703
166	0.13628
167	0.33633
168	0.31255
169	0.5202
170	0.64316
171	0.48281
172	0.98863
173	0.85683
174	0.62011
175	0.05449
176	0.2454
177	0.47048
178	0.4004
179	0.02448
180	0.67111
181	0.81919
182	3.93904E-4
183	0.59228
184	0.79798
