Player,Picture,Squad,Squad_picture,Pos,DPos,contribution,Annual Wages,Squad Annual Wages,Con_color,Con_longitude,Pos_Order,DPos_Order,90s,Aerials Won %,Blocks Contribution,Clearance Contribution,Interception Contribution,Pass Completion %,Crosses Completed,Progressive Carries,Tackles Contribution,Touches in Attacking Third,Carries into Final Third,Ball Recoveries,Progressive Passes,Key Passes,Tackles Won,Shot-Creating Actions,xA,Assists,Goals,Progressive Passes Received,xG,xG-G,all_con%,all_latitude,all_longitude,Clean Sheets Contribution,Launch %,PSxG-GA,Pass Completion Contribution,Save%,posrank,dposrank,allposrank,alldposrank
Kepa Arrizabalaga,https://fbref.com/req/202302030/images/headshots/28d596a0_2022.jpg,Bournemouth,https://cdn.ssref.net/req/202505011/tlogo/fb/4ba26cbea.png,GK,GK,2.061,4762884,72279435,12.45306431,94.37531447,4,0,26,,,,,,,,,,,,,,,,,,,,,,,,,7,35.1,1.7,114,75,3,3,29,29
Neto,https://fbref.com/req/202302030/images/headshots/a9dc785c_2022.jpg,Bournemouth,https://cdn.ssref.net/req/202505011/tlogo/fb/4ba27cbea.png,GK,GK,3.835,3175256,72279435,22.2810132,168.8562409,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,0,43.5,2.3,9,84.6,1,1,13,13
Mark Travers,https://fbref.com/req/202302030/images/headshots/fe558029_2022.jpg,Bournemouth,https://cdn.ssref.net/req/202505011/tlogo/fb/4ba28cbea.png,GK,GK,2.118,1270102,72279435,12.76884395,96.76844458,4,0,5,,,,,,,,,,,,,,,,,,,,,,,,,1,41.7,4.5,33,80,2,2,27,27
Keane Lewis-Potter,https://fbref.com/req/202302030/images/headshots/41f08ac8_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051869.png,FW,LW,0.85,2222679,54793585,18.35598553,48.02365697,1,2,30.2,,,,,,,,,,61,,,,,,,3,1,143,2.6,-1.6,,,,,,,,,3,2,62,21
Yoane Wissa,https://fbref.com/req/202302030/images/headshots/2500cef9_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051870.png,FW,LW,1.255,1587628,54793585,27.5113724,71.97634303,1,2,27.4,,,,,,,,,,20,,,,,,,3,16,131,14.9,1.1,,,,,,,,,2,1,31,9
Bryan Mbeumo,https://fbref.com/req/202302030/images/headshots/6afaebf2_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051871.png,FW,RW,1.949,2857730,54793585,43.19986249,86.7322239,1,3,32.9,,,,,,,,,,61,,,,,,,6,18,300,10.6,7.4,,,,,,,,,1,1,4,3
Kevin Schade,https://fbref.com/req/202302030/images/headshots/52afb588_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051872.png,FW,RW,0.771,635051,54793585,16.57011994,33.2677761,1,3,21.5,,,,,,,,,,26,,,,,,,2,7,139,6.2,0.8,,,,,,,,,4,2,72,17
Mathias Jensen,https://fbref.com/req/202302030/images/headshots/0f134faf_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051873.png,MF,CM,1.011,3175256,54793585,15.87711461,46.3253282,2,1,8.6,,,,,,,,,,8,,55,15,,37,1.3,,,,,,,,,,,,,,3,1,62,28
Vitaly Janelt,https://fbref.com/req/202302030/images/headshots/8449d35e_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051874.png,MF,CM,0.961,1905153,54793585,15.29746635,44.63406398,2,1,25,,,,,,,,,,18,,80,14,,32,2.4,,,,,,,,,,,,,,4,2,65,29
Yunus Emre Konak,0,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051875.png,MF,CM,0.5,952577,54793585,9.953109382,29.04060782,2,1,0.4,,,,,,,,,,1,,2,0,,0,0,,,,,,,,,,,,,,6,3,106,56
Fabio Carvalho,https://fbref.com/req/202302030/images/headshots/966e28d0_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051876.png,MF,CAM,0.503,2540205,54793585,9.987888278,25.88463435,2,2,5.1,,,,,,,,,,3,,17,4,,10,0.6,,,,,,,,,,,,,,5,2,105,31
Mikkel Damsgaard,https://fbref.com/req/202302030/images/headshots/215f3907_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051877.png,MF,CAM,2.774,1905153,54793585,36.31551231,94.11536565,2,2,27.7,,,,,,,,,,42,,204,55,,109,5.9,,,,,,,,,,,,,,1,1,7,2
Christian Nørgaard,https://fbref.com/req/202302030/images/headshots/df0a4c90_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051878.png,MF,CDM,6.54,2222679,54793585,29.4361134,120,2,3,26.3,,47,,42,81.7,,,,,,173,122,15,44,,,,,,,,,,,,,,,,2,1,15,8
Ben Mee,https://fbref.com/req/202302030/images/headshots/8df7a2fb_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051879.png,DF,CB,2.188,3492781,54793585,20.98507499,33.34173998,3,1,2,50,3,7,4,77.5,,,,,,,,,,,,,,,,,,,,,,,,,3,1,43,14
Ethan Pinnock,https://fbref.com/req/202302030/images/headshots/e541326e_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051880.png,DF,CB,1.044,1905153,54793585,13.34155523,21.19747801,3,1,21.3,59.4,29,142,24,85.6,,,,,,,,,,,,,,,,,,,,,,,,,5,3,118,67
Kristoffer Ajer,https://fbref.com/req/202302030/images/headshots/a8c0acb7_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051881.png,DF,CB,0.694,2540205,54793585,11.0030658,17.48201324,3,1,15.4,55.1,17,49,12,78.2,,,,,,,,,,,,,,,,,,,,,,,,,7,5,157,92
Nathan Collins,https://fbref.com/req/202302030/images/headshots/a8c19eb8_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051882.png,DF,CB,1.579,1905153,54793585,16.91610337,26.87683129,3,1,33,64.4,68,196,31,85.8,,,,,,,,,,,,,,,,,,,,,,,,,4,2,73,34
Sepp van den Berg,https://fbref.com/req/202302030/images/headshots/7bf9400b_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051883.png,DF,CB,1.035,1270102,54793585,13.28142265,21.10193748,3,1,23.7,56,47,115,19,83.9,,,,,,,,,,,,,,,,,,,,,,,,,6,4,121,68
Jayden Meghoma,https://fbref.com/req/202302030/images/headshots/07382f6c_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051884.png,DF,LB,0,952577,54793585,3.087214319,60,3,2,0.1,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,8,1,178,38
Rico Henry,https://fbref.com/req/202302030/images/headshots/8a3c1dc7_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051885.png,DF,LB,0,2222679,54793585,3.087214319,60,3,2,0.2,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,8,1,178,38
Mads Roerslev,https://fbref.com/req/202302030/images/headshots/57c94db2_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051886.png,DF,RB,3.472,1270102,54793585,48.55757502,47.5428269,3,3,12.2,,,,,,31,17,18,13,,,,,,,,,,,,,,,,,,,,,2,2,7,2
Michael Kayode,https://fbref.com/req/202302030/images/headshots/e19660a8_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051887.png,DF,RB,5.415,2061201,54793585,74.00368989,72.4571731,3,3,1.4,,,,,,5,3,9,2,,,,,,,,,,,,,,,,,,,,,1,1,1,1
Mark Flekken,https://fbref.com/req/202302030/images/headshots/a92ab7be_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051888.png,GK,GK,2.757,1905153,54793585,16.30889995,99.84132315,4,0,31.4,,,,,,,,,,,,,,,,,,,,,,,,,5,34.1,1.5,223,73.3,2,2,16,16
Hákon Rafn Valdimarsson,https://fbref.com/req/202302030/images/headshots/57a34cf4_2022.jpg,Brentford,https://cdn.ssref.net/req/202505011/tlogo/fb/cd051889.png,GK,GK,7.484,635051,54793585,42.49645034,260.1586768,4,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,1,42.6,-0.4,15,50,1,1,3,3
Danny Welbeck,https://fbref.com/req/202302030/images/headshots/ce5143da_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b9.png,FW,ST,0.75,3810307,80489884,16.09539618,38.07486631,1,1,19.6,,,,,,,,,,20,,,,,,,4,9,77,8,1,,,,,,,,,3,2,74,27
Georginio Rutter,https://fbref.com/req/202302030/images/headshots/c64c01fc_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b10.png,FW,ST,0.6,4762884,80489884,12.70451215,30.05347594,1,1,18.4,,,,,,,,,,36,,,,,,,3,5,79,4.6,0.4,,,,,,,,,5,3,96,37
João Pedro,https://fbref.com/req/202302030/images/headshots/e8832875_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b11.png,FW,ST,1.008,3175256,80489884,21.9277167,51.87165775,1,1,21.6,,,,,,,,,,39,,,,,,,6,10,128,8.9,1.1,,,,,,,,,2,1,44,17
Jeremy Sarmiento,https://fbref.com/req/202302030/images/headshots/ac0d576d_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b12.png,FW,LW,0.2,1361441,80489884,3.662154748,11.44202472,1,2,0.1,,,,,,,,,,0,,,,,,,0,0,2,0,0,,,,,,,,,8,3,132,45
Kaoru Mitoma,https://fbref.com/req/202302030/images/headshots/74618572_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b13.png,FW,LW,1.162,5080409,80489884,25.4090243,79.38787522,1,2,27.7,,,,,,,,,,76,,,,,,,3,8,274,8.2,-0.2,,,,,,,,,1,1,34,11
Simon Adingra,https://fbref.com/req/202302030/images/headshots/4dcec659_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b14.png,FW,LW,0.451,793814,80489884,9.336234018,29.17010006,1,2,9.2,,,,,,,,,,17,,,,,,,1,2,105,2.2,-0.2,,,,,,,,,6,2,114,36
Brajan Gruda,https://fbref.com/req/202302030/images/headshots/ae9b998d_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b15.png,FW,RW,0.346,3175256,80489884,6.9626152,40.74972437,1,3,5.5,,,,,,,,,,16,,,,,,,1,0,46,0.4,-0.4,,,,,,,,,7,2,119,28
Yankuba Minteh,0,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b16.png,FW,RW,0.637,2540205,80489884,13.54093021,79.25027563,1,3,16.3,,,,,,,,,,17,,,,,,,4,5,154,3.7,1.3,,,,,,,,,4,1,89,20
Diego Gómez,0,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b17.png,MF,CM,0.957,1717667,80489884,15.25109449,9.339695857,2,1,4.8,,,,,,,,,,3,,18,5,,12,0.8,,,,,,,,,,,,,,7,6,66,30
Jack Hinshelwood,https://fbref.com/req/202302030/images/headshots/e98211e7_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b18.png,MF,CM,1.156,635051,80489884,17.55809457,10.75249145,2,1,17.7,,,,,,,,,,18,,55,12,,30,1.4,,,,,,,,,,,,,,6,5,53,22
Jakub Moder,https://fbref.com/req/202302030/images/headshots/f230bc30_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b19.png,MF,CM,22.8,635051,80489884,100,61.23951211,2,1,0.1,,,,,,,,,,3,,4,3,,4,0.5,,,,,,,,,,,,,,1,1,1,1
James Milner,https://fbref.com/req/202302030/images/headshots/2f90f6b8_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b20.png,MF,CM,1.173,3810307,80489884,17.75517498,10.87318253,2,1,1.9,,,,,,,,,,1,,10,4,,8,0.2,,,,,,,,,,,,,,5,4,52,21
Matt O'Riley,https://fbref.com/req/202302030/images/headshots/fb495bb8_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b21.png,MF,CM,1.432,3175256,80489884,20.75775297,12.71194665,2,1,7.5,,,,,,,,,,11,,29,13,,29,1.3,,,,,,,,,,,,,,3,3,45,16
Yasin Ayari,https://fbref.com/req/202302030/images/headshots/f173303a_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b22.png,MF,CM,1.766,508041,80489884,24.62980336,15.08317141,2,1,18.3,,,,,,,,,,23,,65,26,,52,2.3,,,,,,,,,,,,,,2,2,32,11
Carlos Baleba,https://fbref.com/req/202302030/images/headshots/a1390d2f_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b23.png,MF,CDM,4.572,793814,80489884,19.14369522,72.27072088,2,3,24.7,,42,,39,87.5,,,,,,163,108,20,37,,,,,,,,,,,,,,,,4,1,49,18
Mats Wieffer,https://fbref.com/req/202302030/images/headshots/4876c9ab_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b24.png,MF,CDM,3.329,3810307,80489884,12.64294532,47.72927912,2,3,6.7,,11,,9,86.6,,,,,,50,40,11,16,,,,,,,,,,,,,,,,8,2,90,25
Adam Webster,https://fbref.com/req/202302030/images/headshots/c40b6180_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b25.png,DF,CB,1.492,3492781,80489884,16.33482171,16.17840557,3,1,6.9,81,12,28,14,85.6,,,,,,,,,,,,,,,,,,,,,,,,,4,3,85,44
Eiran Cashin,https://fbref.com/req/202302030/images/headshots/f557c3b8_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b26.png,DF,CB,19.902,1030600,80489884,61.25287467,60.66634005,3,1,0.2,66.7,0,2,0,82.1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,3
Igor,https://fbref.com/req/202302030/images/headshots/a4e85758_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b27.png,DF,CB,1.033,2857730,80489884,13.26805985,13.14100987,3,1,10,57.1,23,39,4,92.1,,,,,,,,,,,,,,,,,,,,,,,,,8,5,122,69
Jan Paul van Hecke,https://fbref.com/req/202302030/images/headshots/4fd08daa_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b28.png,DF,CB,1.578,1905153,80489884,16.90942197,16.74750367,3,1,28.9,60.3,32,128,23,87.9,,,,,,,,,,,,,,,,,,,,,,,,,3,2,74,35
Lewis Dunk,https://fbref.com/req/202302030/images/headshots/282f75f3_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b29.png,DF,CB,1.052,5080409,80489884,13.39500642,13.26674085,3,1,21.1,62.7,24,69,12,90.8,,,,,,,,,,,,,,,,,,,,,,,,,7,4,117,66
Ferdi Kadioglu,https://fbref.com/req/202302030/images/headshots/66c52a77_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b30.png,DF,LB,0.362,5556698,80489884,7.828075659,25.61283538,3,2,4.3,,,,,,9,1,10,0,,,,,,,,,,,,,,,,,,,,,9,2,171,34
Pervis Estupiñán,https://fbref.com/req/202302030/images/headshots/d38fdf53_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b31.png,DF,LB,1.967,3175256,80489884,28.84764044,94.38716462,3,2,22.7,,,,,,103,53,51,46,,,,,,,,,,,,,,,,,,,,,2,1,15,5
Joël Veltman,https://fbref.com/req/202302030/images/headshots/dad4b285_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b32.png,DF,RB,0.971,3175256,80489884,15.8037236,62.11026249,3,3,18.3,,,,,,23,29,42,22,,,,,,,,,,,,,,,,,,,,,5,1,93,24
Tariq Lamptey,https://fbref.com/req/202302030/images/headshots/f4e433d4_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b33.png,DF,RB,0.889,2222679,80489884,14.72982684,57.88973751,3,3,8.5,,,,,,24,25,14,13,,,,,,,,,,,,,,,,,,,,,6,2,100,25
Jason Steele,https://fbref.com/req/202302030/images/headshots/28300a16_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b34.png,GK,GK,5.437,1270102,80489884,31.15608316,234.1184601,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1,13.6,-0.5,7,75,1,1,6,6
Bart Verbruggen,https://fbref.com/req/202302030/images/headshots/cf134113_2022.jpg,Brighton,https://cdn.ssref.net/req/202505011/tlogo/fb/d07537b35.png,GK,GK,2.837,2222679,80489884,16.75209945,125.8815399,4,0,31,,,,,,,,,,,,,,,,,,,,,,,,,6,25.3,-6.1,105,63.7,2,2,15,15
Cole Palmer,https://fbref.com/req/202302030/images/headshots/dc7f8a28_2022.jpg,Chelsea,https://cdn.ssref.net/req/202505011/tlogo/fb/cff3d9bb.png,FW,CAM,2.442,8255665,227419141,32.46664785,86.14650725,1,0,29.5,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,1,1,15,3
João Félix,https://fbref.com/req/202302030/images/headshots/8aafd64f_2022.jpg,Chelsea,https://cdn.ssref.net/req/202505011/tlogo/fb/cff3d10bb.png,FW,CAM,0.742,8255665,227419141,12.75860697,33.85349275,1,0,4.1,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,5,2,95,29
Christopher Nkunku,https://fbref.com/req/202302030/images/headshots/7c56da38_2022.jpg,Chelsea,https://cdn.ssref.net/req/202505011/tlogo/fb/cff3d11bb.png,FW,ST,0.452,12383497,227419141,9.358839912,42.71711092,1,1,10.2,,,,,,,,,,16,,,,,,,2,3,68,4.8,-1.8,,,,,,,,,8,2,113,45
Marc Guiu,https://fbref.com/req/202302030/images/headshots/d3d774cc_2022.jpg,Chelsea,https://cdn.ssref.net/req/202505011/tlogo/fb/cff3d12bb.png,FW,ST,0.038,3175256,227419141,0,0,1,1,0.8,,,,,,,,,,0,,,,,,,0,0,3,0,0,,,,,,,,,10,3,138,54
Nicolas Jackson,https://fbref.com/req/202302030/images/headshots/9c36ed83_2022.jpg,Chelsea,https://cdn.ssref.net/req/202505011/tlogo/fb/cff3d13bb.png,FW,ST,0.787,6350511,227419141,16.93181424,77.28288908,1,1,21.6,,,,,,,,,,23,,,,,,,5,9,107,12.1,-3.1,,,,,,,,,2,1,69,25
Jadon Sancho,https://fbref.com/req/202302030/images/headshots/dbf053da_2022.jpg,Chelsea,https://cdn.ssref.net/req/202505011/tlogo/fb/cff3d14bb.png,FW,LW,0.553,9525767,227419141,11.64203516,46.96048632,1,2,17.9,,,,,,,,,,32,,,,,,,4,3,203,1.9,1.1,,,,,,,,,7,2,102,32
Mykhailo Mudryk,https://fbref.com/req/202302030/images/headshots/049a888d_2022.jpg,Chelsea,https://cdn.ssref.net/req/202505011/tlogo/fb/cff3d15bb.png,FW,LW,0.296,6350511,227419141,5.832320525,23.52583587,1,2,1.7,,,,,,,,,,8,,,,,,,0,0,12,0.3,-0.3,,,,,,,,,9,3,128,43
Tyrique George,0,Chelsea,https://cdn.ssref.net/req/202505011/tlogo/fb/cff3d16bb.png,FW,LW,0.581,515300,227419141,12.27500017,49.51367781,1,2,1,,,,,,,,,,1,,,,,,,1,0,16,0.1,-0.1,,,,,,,,,6,1,101,31
Noni Madueke,https://fbref.com/req/202302030/images/headshots/bf34eebd_2022.jpg,Chelsea,https://cdn.ssref.net/req/202505011/tlogo/fb/cff3d17bb.png,FW,RW,0.757,3175256,227419141,16.25363743,66.5227448,1,3,17.8,,,,,,,,,,41,,,,,,,3,7,194,7.9,-0.9,,,,,,,,,3,1,73,18
Pedro Neto,https://fbref.com/req/202302030/images/headshots/7ba2eaa9_2022.jpg,Chelsea,https://cdn.ssref.net/req/202505011/tlogo/fb/cff3d18bb.png,FW,RW,0.616,10160818,227419141,13.06620645,53.4772552,1,3,19.4,,,,,,,,,,48,,,,,,,4,3,200,2.5,0.5,,,,,,,,,4,2,92,21
Enzo Fernández,https://fbref.com/req/202302030/images/headshots/5ff4ab71_2022.jpg,Chelsea,https://cdn.ssref.net/req/202505011/tlogo/fb/cff3d19bb.png,MF,CM,1.945,11430921,227419141,26.70494413,92.81964173,2,1,26.8,,,,,,,,,,50,,185,67,,128,5.6,,,,,,,,,,,,,,1,1,21,8
Kiernan Dewsbury-Hall,https://fbref.com/req/202302030/images/headshots/5c74c0f5_2022.jpg,Chelsea,https://cdn.ssref.net/req/202505011/tlogo/fb/cff3d20bb.png,MF,CM,0.316,5080409,227419141,7.82000378,27.18035827,2,1,2.9,,,,,,,,,,1,,14,3,,5,0.2,,,,,,,,,,,,,,4,2,117,61
